Price,Close,High,Low,Open,Volume,rsi,ema_9,ema_21,macd_line,target
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,
Date,,,,,,,,,,
2024-12-11,2733.800048828125,2733.800048828125,2693.10009765625,2701.800048828125,3387,66.34928971021364,2671.364934710358,2660.13113996182,6.484716316705544,0
2024-12-12,2687.5,2725.10009765625,2677.39990234375,2725.10009765625,2365,54.973326890760696,2674.5919477682864,2662.619218147109,7.753744692294276,0
2024-12-13,2656.0,2689.300048828125,2647.89990234375,2688.199951171875,1125,48.66575837347993,2670.873558214629,2662.0174710428264,6.146815417416292,0
2024-12-16,2651.39990234375,2663.300048828125,2651.0,2658.300048828125,877,47.77627822530311,2666.978827040454,2661.0522375247283,4.450816709050741,0
2024-12-17,2644.39990234375,2652.300048828125,2632.5,2651.800048828125,705,46.34410438417975,2662.4630421011134,2659.538388871912,2.512916675897941,0
2024-12-18,2636.5,2647.10009765625,2590.199951171875,2644.300048828125,566,44.665170510676525,2657.270433680891,2657.4439898835562,0.33579006209311046,0
2024-12-19,2592.199951171875,2610.300048828125,2582.10009765625,2582.10009765625,238,36.43980640763256,2644.2563371790884,2651.5127136370397,-4.907669613782218,1
2024-12-20,2628.699951171875,2631.60009765625,2604.89990234375,2605.300048828125,592,45.60950926309793,2641.145059977646,2649.438826140207,-6.048184520935138,0
2024-12-23,2612.300048828125,2627.699951171875,2611.10009765625,2620.0,451,42.54524005070741,2635.3760577477415,2646.06257365729,-8.18107946967666,1
2024-12-24,2620.0,2620.0,2609.5,2613.0,35,44.490782985813254,2632.300846198193,2643.6932487793542,-9.144678216721331,1
2024-12-26,2638.800048828125,2638.800048828125,2627.89990234375,2628.5,84,49.16103190369054,2633.6006867241795,2643.2484124201515,-8.295702648011684,0
2024-12-27,2617.199951171875,2617.699951171875,2616.39990234375,2617.699951171875,642,44.39295541444543,2630.320539613719,2640.88037048849,-9.259097640569507,0
2024-12-30,2606.10009765625,2626.89990234375,2597.0,2620.699951171875,794,42.06353938388042,2625.4764512222255,2637.718527503741,-10.793835905039032,1
2024-12-31,2629.199951171875,2629.199951171875,2604.89990234375,2608.39990234375,401,48.332556343221235,2626.2211512121553,2636.9441114735714,-10.030536134871909,1
2025-01-02,2658.89990234375,2663.10009765625,2633.0,2633.0,1728,55.24998473695371,2632.7569014384744,2638.9400924617694,-6.948974271202587,0
2025-01-03,2645.0,2658.699951171875,2641.800048828125,2658.699951171875,591,51.653788502676264,2635.2055211507795,2639.490993147063,-5.564278704339358,0
2025-01-06,2638.39990234375,2647.0,2617.300048828125,2645.5,960,49.93886027442652,2635.8443973893736,2639.391803074034,-4.942496193429179,1
2025-01-07,2656.699951171875,2657.5,2653.0,2653.39990234375,643,54.584128530202705,2640.015508145874,2640.9652710829287,-2.939186955646619,1
2025-01-08,2664.5,2676.89990234375,2653.5,2655.5,999,56.495928849863716,2644.9124065166993,2643.104791893571,-0.7139215556453564,1
2025-01-09,2683.800048828125,2686.300048828125,2667.89990234375,2669.699951171875,1139,61.00849380650684,2652.6899349789846,2646.804360705803,2.5772608899678744,1
2025-01-10,2708.5,2720.10009765625,2683.699951171875,2686.10009765625,403,66.02044095003197,2663.8519479831875,2652.413055187094,7.096818615882967,0
2025-01-13,2673.5,2711.199951171875,2673.5,2711.10009765625,765,54.908168765077164,2665.7815583865504,2654.330050170085,7.764884428313962,1
2025-01-14,2677.5,2688.300048828125,2670.800048828125,2673.60009765625,794,55.85176719891831,2668.1252467092404,2656.436409245532,8.518897421775819,1
